	t1	t2	t3
N212	0.9000707	0.04658193	0.053347327
Caprimulgiformes1	0.40961522	0.2956721	0.29471266
N214	0.40843427	0.2921881	0.29937765
N215	0.6285665	0.1858307	0.18560281
Eurypygiformes	1.0	0.0	0.0
N220	0.5220068	0.23684305	0.24115016
Sphenisciformes	1.0	0.0	0.0
N228	0.9978856	0.0016169155	0.00049751246
N233	0.7716418	0.123880595	0.104477614
N234	0.9937811	0.003233831	0.0029850747
N235	0.7345864	0.1330768	0.13233677
N236	0.69800997	0.14668506	0.15530498
Procellariiformes	0.92821646	0.03531815	0.036465414
N238	0.40877625	0.2994428	0.29178104
N242	0.9960199	0.0027860699	0.0011940299
N245	1.0	0.0	0.0
N249	0.37263682	0.3273632	0.3
N250	0.9828668	0.007947801	0.009185382
N251	0.39674667	0.30529013	0.29796317
N252	0.5139822	0.25214309	0.23387478
N257	0.99900496	0.00049751246	0.00049751246
N260	0.59568816	0.19087894	0.21343285
N264	0.8308458	0.08756219	0.08159204
N265	0.9675373	0.01579602	0.016666668
N266	1.0	0.0	0.0
N267	0.9323383	0.032835823	0.03482587
N268	0.99701494	0.0014925373	0.0014925373
N269	0.8588686	0.068445325	0.072686054
N270	0.53212774	0.23753162	0.2303406
Pelecaniformes	0.42700857	0.2885442	0.28444722
N272	0.53001374	0.23515676	0.23482947
N273	0.54264313	0.2354405	0.22191639
N274	0.3412017	0.33647612	0.32232216
N275	0.3338144	0.3403151	0.32587045
N276	0.3366902	0.32770643	0.3356034
N281	0.99850744	0.0	0.0014925373
N282	0.99850744	0.0014925373	0.0
Strigiformes	0.8974346	0.052208904	0.050356496
N290	1.0	0.0	0.0
N293	0.9965174	0.00049751246	0.0029850747
N294	0.77064675	0.11467662	0.11467662
N295	0.99850744	0.00049751246	0.0009950249
N296	0.99502486	0.0029850747	0.0019900498
N297	0.9598251	0.018005881	0.02216903
Accipitriformes	0.49753875	0.25724098	0.24522026
N299	0.34522662	0.3251788	0.32959464
Coliiformes	1.0	0.0	0.0
Trogoniformes	1.0	0.0	0.0
N309	0.9995025	0.00049751246	0.0
N312	1.0	0.0	0.0
Bucerotiformes	0.85622716	0.074850336	0.06892245
N317	0.9965251	0.0014925373	0.0019823483
N318	0.7622388	0.11447761	0.12328358
N324	0.619403	0.19104478	0.18955223
N325	0.99925375	0.00049751246	0.00024875623
N326	0.9383085	0.031343285	0.030348258
N327	0.98354065	0.0089552235	0.007504146
Coraciiformes	0.9892844	0.0049650227	0.0057505714
N331	0.9940299	0.0019900498	0.0039800997
N334	0.9940299	0.0014925373	0.0044776117
N340	0.76467663	0.11691542	0.11840796
N341	0.99801	0.0012437811	0.00074626866
N342	0.7822554	0.10995025	0.10779437
N343	0.9982587	0.00037313433	0.0013681592
N344	0.99900496	0.00049751246	0.00049751246
Piciformes	0.8513124	0.07000717	0.078680426
N346	0.6234043	0.1940521	0.1825436
N347	0.64251465	0.1818095	0.17567581
N348	0.4150369	0.29911575	0.2858474
N349	0.47801703	0.25919595	0.262787
N350	0.35694686	0.3224368	0.32061633
N351	0.36703533	0.31222782	0.32073683
Cariamiformes	1.0	0.0	0.0
N358	1.0	0.0	0.0
Falconiformes	0.9990759	0.0005111199	0.00041297238
N363	0.99751246	0.0014925373	0.0009950249
N367	0.9885572	0.0044776117	0.0069651743
N368	0.99054724	0.0059701493	0.0034825872
N369	0.99303484	0.0029850747	0.0039800997
Psittaciformes	1.0	0.0	0.0
N374	0.9939055	0.0037313432	0.002363184
N377	0.43482277	0.27881092	0.2863663
N380	0.9748756	0.012193689	0.012930688
N381	0.4988806	0.24701492	0.25410447
N382	0.99900496	0.00074626866	0.00024875623
N385	1.0	0.0	0.0
N393	0.99900496	0.00049751246	0.00049751246
N394	0.9318408	0.037810944	0.030348258
N395	0.997514	0.0019885	0.00049751246
N396	0.52002645	0.24266168	0.23731188
N397	0.85412997	0.07243469	0.07343533
N398	0.82744616	0.08383085	0.08872305
N399	0.99715704	0.0014214641	0.0014214641
N402	0.99900496	0.0009950249	0.0
N407	0.44148818	0.27373788	0.28477395
N413	0.47312048	0.26366773	0.2632118
N414	0.3699082	0.32238495	0.3077068
N415	0.7009966	0.15489325	0.1441102
N416	0.86919963	0.0611024	0.06969795
N417	0.42139804	0.2885647	0.29003724
N418	0.60242593	0.1939682	0.2036059
N419	0.60855097	0.19216418	0.19928482
N420	0.9986733	0.0	0.0013266999
N421	0.98054177	0.008623548	0.010834715
N422	0.9913184	0.0044776117	0.00420398
N425	0.99701494	0.0019900498	0.0009950249
N428	0.92038596	0.03780548	0.04180856
N434	0.9044899	0.051246863	0.044263203
N435	0.5696517	0.21741293	0.21293533
N436	0.9180763	0.04543947	0.036484245
N437	0.97202307	0.014298943	0.01367796
N440	0.5725262	0.21209507	0.21537866
N445	0.9222886	0.03492537	0.04278607
N451	0.41783807	0.28913638	0.29302558
N452	0.3530062	0.32350278	0.32349104
N458	0.98109454	0.011442786	0.0074626864
N459	0.9995025	0.0	0.00049751246
N460	0.99850744	0.0009950249	0.00049751246
N461	0.88236356	0.056492176	0.061144225
N462	0.34880248	0.32185194	0.32934558
N463	0.56510013	0.21535578	0.2195441
N464	0.3621338	0.32462686	0.31323937
N465	0.9892648	0.005169927	0.005565306
N473	0.60646003	0.19552083	0.19801919
N474	0.79404145	0.094783075	0.11117549
N475	0.6318501	0.19055243	0.1775975
N476	0.4317164	0.28432837	0.28395522
N477	0.97370136	0.010871578	0.015427026
N482	0.70925695	0.14174385	0.14899923
N485	0.50357974	0.23991641	0.2565038
N490	0.98557216	0.0049751243	0.009452736
N491	0.97441053	0.0132211605	0.012368283
N492	0.47236708	0.28134328	0.24628964
N493	0.3605816	0.31636629	0.3230521
N494	0.3664212	0.32320195	0.31037688
N495	0.5120987	0.24424535	0.24365592
N496	0.3463514	0.32353806	0.33011055
N497	0.3448195	0.32618597	0.32899454
N498	0.37132573	0.31479195	0.31388232
N499	0.3848592	0.29394257	0.3211982
N500	0.6786261	0.15436006	0.16701384
N501	0.86687297	0.071764775	0.06136228
N506	0.8035886	0.10137089	0.095040515
N510	0.9920352	0.0046316404	0.0033331793
N511	0.40694585	0.30319083	0.28986335
N516	0.9467662	0.02238806	0.03084577
N517	0.9995025	0.0	0.00049751246
N518	0.9017131	0.050667867	0.04761909
N521	0.7160678	0.13803206	0.14590015
N527	0.99850124	0.0004944126	0.0010043242
N531	0.4498252	0.25864023	0.29153457
N532	0.8672905	0.06403884	0.06867066
N533	0.39707443	0.29939288	0.30353275
N537	0.99870646	0.0009950249	0.00029850748
N543	0.99452734	0.0029850747	0.0024875621
N544	0.79850197	0.09155773	0.10994021
N545	0.5337162	0.24163967	0.22464417
N546	0.5445527	0.22321895	0.23222835
N547	0.8226999	0.099315405	0.0779847
N550	0.9965048	0.0020137408	0.0014814815
N554	0.99701494	0.00049751246	0.0024875621
N555	0.81691545	0.0949005	0.08818408
N559	0.9835821	0.009452736	0.0069651743
N560	0.9965206	0.0018226577	0.0016568202
N564	0.50195	0.25771916	0.24033085
N565	0.54027206	0.22750129	0.23222664
N566	0.5022806	0.24642038	0.25129905
N567	0.9286763	0.03307659	0.038247034
N568	0.5137265	0.23088899	0.2553845
N569	0.39949617	0.30360445	0.2968994
N570	0.42330158	0.28918275	0.28751564
N571	0.37152606	0.325405	0.30306894
N572	0.65707743	0.16689718	0.17602544
N573	0.7205719	0.14920701	0.13022114
N574	0.42533487	0.3080109	0.26665422
N575	0.9443157	0.026417086	0.029267233
N576	0.60553414	0.19177128	0.20269457
N579	0.99867433	0.0009187912	0.00040681398
N585	0.99701494	0.0019900498	0.0009950249
N588	0.9995025	0.0	0.00049751246
N589	0.85546184	0.06518343	0.079354785
N590	0.48869246	0.25597093	0.2553366
N591	0.9121375	0.043362737	0.04449975
N598	1.0	0.0	0.0
N599	0.6686722	0.16368315	0.16764468
N600	0.5175788	0.2437811	0.23864014
N601	0.99353236	0.0042910445	0.0021766168
N606	0.99751246	0.0009950249	0.0014925373
N611	0.9900498	0.0059701493	0.0039800997
N612	0.70373136	0.15845771	0.13781095
N613	0.96567166	0.01840796	0.015920399
N614	0.99303484	0.0039800997	0.0029850747
N615	0.8626146	0.06289569	0.07448971
N616	0.4568017	0.27819476	0.26500353
N617	0.9947805	0.0021706372	0.0030488584
N618	0.53816867	0.23322138	0.2286099
N619	0.37798184	0.31545186	0.3065663
N620	0.36412218	0.3215592	0.31431863
N621	0.43451414	0.28521407	0.28027186
N625	0.97103	0.013393558	0.015576515
N628	0.99751246	0.000525152	0.0019624103
N635	0.9995025	0.00049751246	0.0
N638	0.9995025	0.0	0.00049751246
N639	0.9701493	0.012437811	0.017412934
N640	0.90275645	0.046457555	0.050785914
N641	0.42103314	0.28696617	0.29200068
N644	0.99850744	0.0009857784	0.0005067589
N647	0.89055854	0.048129007	0.061312463
N651	1.0	0.0	0.0
N655	0.9965174	0.0029850747	0.00049751246
N656	0.99751246	0.0014925373	0.0009950249
N657	0.99801	0.0014925373	0.00049751246
N661	0.37502027	0.31396997	0.31100976
N665	0.4313433	0.2761194	0.2925373
N666	0.9469437	0.023625623	0.029430712
N670	0.462645	0.28163671	0.2557183
N671	0.70261145	0.14466341	0.15272519
N672	0.74161696	0.13139084	0.12699224
N677	0.98606807	0.007464227	0.006467662
N678	0.8427814	0.074133985	0.083084576
N679	0.9166322	0.044612586	0.038755227
N682	0.9994963	0.000503712	0.0
N686	0.68606967	0.15771145	0.1562189
N687	0.99975127	0.0	0.00024875623
N688	0.6146392	0.1936983	0.19166248
N689	0.6153719	0.18356532	0.20106287
N690	0.42374918	0.3003682	0.27588266
N691	0.46184215	0.2770117	0.2611462
N692	0.8945874	0.052357994	0.05305457
N693	0.8427942	0.07678963	0.080416165
N694	0.75623304	0.10077861	0.14298835
N695	0.8493474	0.072422385	0.07823019
N696	0.51015085	0.24641414	0.24343503
N697	0.7401898	0.13209578	0.1277144
N698	0.857422	0.06714309	0.0754349
N699	0.4771691	0.2554829	0.26734805
N700	0.80024123	0.10246055	0.09729823
N701	0.74475914	0.13165796	0.12358297
N702	0.83559006	0.07852285	0.085887074
N703	0.46992812	0.26112098	0.26895094
N704	0.9824922	0.0085104015	0.008997392
N705	0.48681456	0.26082376	0.2523617
N706	0.5343037	0.23816286	0.22753344
N707	0.45825148	0.2698705	0.27187803
N708	0.8627311	0.06839958	0.06886935
N709	0.66582274	0.15769808	0.17647918
N710	0.9414206	0.028393587	0.030185737
N711	0.99253005	0.0029850747	0.004484875
N712	0.87440264	0.06092075	0.06467662
N713	0.9995025	0.00049751246	0.0
N714	0.9329506	0.037696138	0.029353233
Passeriformes	0.9995025	1.0153315e-05	0.00048735912
N716	0.37589252	0.30172345	0.32238406
N717	0.4231528	0.2905671	0.28628013
N718	0.43136773	0.28056976	0.28806248
N719	0.6840388	0.15648438	0.15947683
N720	0.3582471	0.32271636	0.31903657
