branch_label,branch_median_age_Ma,substitution_rates_log,branch_length_Ma
Picoides_pubescens,13.6423,0.00207657178501858,27.2846
Indicator_maculatus,13.6423,0.00177428859543483,27.2846
V348,33.16007,0.00260859666762537,10.11062
Psilopogon_haemacephalus,14.05238,0.00236008762257023,28.10476
V350,26.863825,0.00253855352967061,2.48187
Tricholaema_leucomelas,12.811445,0.00238088466215752,25.62289
V352,20.067105,0.00220355290401745,11.11157
Eubucco_bourcierii,7.25566,0.00235637257829929,14.51132
V354,13.595335,0.00239909925559959,1.83197
Ramphastos_sulfuratus,6.339675,0.00155406443000893,12.67935
Semnornis_frantzii,6.339675,0.00236544143877811,12.67935
V357,63.47315,0.00331252993502476,0.68046
V358,35.42357,9.69284295239006e-4,55.4187
Cariama_cristata,3.85711,0.00169134714196172,7.71422
Chunga_burmeisteri,3.85711,0.00167502887114328,7.71422
V361,62.84937,0.00427379150494842,0.5671
V362,47.26915,9.41626921954928e-4,30.59334
Herpetotheres_cachinnans,15.98624,9.86967476468958e-4,31.97248
V364,16.59345,0.00185944322504237,30.75806
Falco_cherrug,0.60721,0.00207812275534737,1.21442
Falco_peregrinus,0.60721,0.00209304329951962,1.21442
V367,62.138045,0.00406287899253913,0.85555
V368,48.48121,0.00200868727799859,26.45812
Nestor_notabilis,17.626075,0.00140251386673151,35.25215
V370,31.367485,0.00185319623002871,7.76933
V371,19.964425,0.00112533194708403,15.03679
Eolophus_roseicapillus,6.223015,0.00136936419403154,12.44603
Probosciger_aterrimus,6.223015,0.00145263434836209,12.44603
V374,25.446765,0.00204072058912395,4.07211
Amazona_guildingii,11.705355,0.00186914745829798,23.41071
V376,20.957965,0.00198133290086838,4.90549
Agapornis_roseicollis,9.25261,0.00224784653496545,18.50522
Melopsittacus_undulatus,9.25261,0.00206027064130522,18.50522
V379,56.2084,0.00320523976244692,11.00374
Acanthisitta_chloris,25.353265,0.00178036086201653,50.70653
V381,49.025365,0.00266351704457623,3.36233
V382,43.450025,0.00146108998656833,7.78835
V383,34.48327,0.00254455598750934,10.14516
V384,25.31518,0.00228347228075655,8.19102
Neodrepanis_coruscans,10.609835,0.00237879232933353,21.21967
Serilophus_lunatus,10.609835,0.002391123917338,21.21967
V387,29.096325,0.00548862892287646,0.62873
V388,28.40096,0.00581218538012226,0.762
Sapayoa_aenigma,14.00998,0.00208879694311067,28.01996
Pitta_sordida,14.00998,0.00277491641520141,28.01996
V391,26.575925,0.00207642543531588,4.41207
Calyptomena_viridis,12.184945,0.00182129457700863,24.36989
Smithornis_capensis,12.184945,0.00219989750422878,24.36989
V394,37.205,0.00174858380488974,4.7017
V395,31.53184,0.00247078401115615,6.64462
V396,19.793905,0.0024555460005698,16.83125
Rhegmatorhina_hoffmannsi,5.68914,0.00229068162509677,11.37828
Sakesphorus_luctuosus,5.68914,0.00221314296206175,11.37828
V399,27.38583,0.00279366941964608,1.6474
Grallaria_varia,13.281065,0.00233735221278958,26.56213
V401,25.82437,0.00262334334987706,1.47552
Scytalopus_superciliaris,12.543305,0.00208248074017897,25.08661
V403,24.696075,0.00444577183448171,0.78107
Formicarius_rufipectus,12.15277,0.00282926289058206,24.30554
V405,20.464945,0.00209166311345506,7.68119
Sclerurus_mexicanus,8.312175,0.00201165510570007,16.62435
V407,15.478605,0.00269163780095092,2.29149
Furnarius_figulus,7.16643,0.00232366602004258,14.33286
V409,10.348345,0.00242330098802822,7.96903
Campylorhamphus_procurvoides,3.181915,0.00239459511258064,6.36383
Xiphorhynchus_elegans,3.181915,0.00218096804258975,6.36383
V412,28.438615,0.00190553141510831,12.83107
V413,13.88441,0.00161240892463148,16.27734
Lepidothrix_coronata,2.87287,0.00204837675386119,5.74574
Manacus_manacus,2.87287,0.00224127977389552,5.74574
V416,21.61995,0.00359471395296999,0.80626
Cephalopterus_ornatus,10.60841,0.00187904577325789,21.21682
V418,20.90708,0.00414233347555151,0.61948
Pachyramphus_minor,10.29867,0.00221988190039512,20.59734
V420,20.41399,0.00602992360508468,0.3667
V421,19.787965,0.00398954071456619,0.88535
Onychorhynchus_coronatus,9.672645,0.002163497577624,19.34529
Oxyruncus_cristatus,9.672645,0.00203210567430296,19.34529
V424,19.337145,0.00209377160545987,1.78699
Piprites_chloris,9.221825,0.00241966839688411,18.44365
V426,17.96204,0.00320767150998823,0.96322
Neopipo_cinnamomea,8.740215,0.0018720857532834,17.48043
V428,17.310595,0.00768370205048412,0.33967
Tachuris_rubrigastra,8.57038,0.00241205153995715,17.14076
V430,16.785855,0.00460828989193789,0.70981
Mionectes_macconnelli,8.215475,0.00283588862835427,16.43095
Tyrannus_savana,8.215475,0.00224949796597792,16.43095
V433,43.73481,0.00311563342713019,7.21878
V434,34.413595,0.00152006673989628,11.42365
Atrichornis_clamosus,14.350885,0.00174979497951193,28.70177
Menura_novaehollandiae,14.350885,0.00123111355891387,28.70177
V437,39.036355,0.00296088620271452,2.17813
V438,35.48086,0.00177605920939866,4.93286
Climacteris_rufus,16.507215,0.00191002010428654,33.01443
Ptilonorhynchus_violaceus,16.507215,0.00149502299763628,33.01443
V441,35.638265,0.0027635130003728,4.61805
V442,30.886685,0.00196412415672439,4.88511
Malurus_elegans,14.222065,0.00256221924522616,28.44413
V444,27.143905,0.00188772301555201,2.60045
Dasyornis_broadbenti,12.92184,0.00188488646558374,25.84368
V446,25.390075,0.00345426566409967,0.90721
Grantiella_picta,12.468235,0.0020305792695924,24.93647
V448,23.49294,0.0020839410930857,2.88706
Origma_solitaria,11.024705,0.00194040885279467,22.04941
Pardalotus_punctatus,11.024705,0.00193473755065146,22.04941
V451,31.954495,0.00252755226103425,2.74949
V452,29.744875,0.00274210640032195,1.66975
Orthonyx_spaldingii,14.455,0.00169844312474655,28.91
Pomatostomus_ruficeps,14.455,0.00198314153252956,28.91
V455,30.040725,0.00306091563434668,1.07805
V456,27.58689,0.00128202001598009,3.82962
Ptilorrhoa_leucosticta,12.83604,0.00148329908503654,25.67208
V458,25.47012,0.00798487321153609,0.40392
Edolisoma_coerulescens,12.63408,0.00138723704591959,25.26816
V460,24.891835,0.00264212392081794,0.75265
V461,22.50201,0.0014142205702463,4.027
V462,18.61386,0.00167830726628843,3.7493
Chaetorhynchus_papuensis,8.369605,0.00167327127671686,16.73921
Rhipidura_dahli,8.369605,0.00243370472589319,16.73921
V465,20.299855,0.00426670454584551,0.37731
Dicrurus_megarhynchus,10.0556,0.00143196283510976,20.1112
V467,19.88288,0.00402684623303493,0.45664
Myiagra_hebetior,9.82728,0.00176529246703052,19.65456
V469,19.50898,0.00501852375644773,0.29116
V470,19.260905,0.00733867820811783,0.20499
Struthidea_cinerea,9.579205,0.00144579160844977,19.15841
V472,18.87733,0.00376224580257158,0.56216
Ifrita_kowaldi,9.298125,0.00151905372568348,18.59625
Paradisaea_raggiana,9.298125,0.00129813175780722,18.59625
V475,18.21875,0.00155503781864054,2.2893
Lanius_ludovicianus,8.53705,0.00254145425880302,17.0741
V477,12.539425,0.00148561097340744,9.06935
Aphelocoma_coerulescens,4.002375,0.00174814241953839,8.00475
V479,5.23765999999999,0.00171661007305035,5.53418
Corvus_moneduloides,1.235285,0.00187931690083313,2.47057
V481,1.65566499999999,0.00183359438374784,1.62981
Corvus_brachyrhynchos,0.42038,0.00230906778808948,0.84076
Corvus_cornix,0.42038,0.00205996243940782,0.84076
V484,24.425105,0.00660060977037982,0.18081
Mohoua_ochrocephala,12.16735,0.00136257091088492,24.3347
V486,24.21595,0.00521109404650962,0.2375
V487,21.53328,8.78791099763485e-4,5.12784
Machaerirhynchus_nigripectus,9.4846800000000009,0.00180546763890602,18.969360000000002
V489,18.75784,0.00486793390277407,0.42304
Gymnorhina_tibicen,9.27316,0.00146988131748702,18.54632
V491,18.199845,0.00322737523322121,0.69295
Rhagologus_leucostigma,8.926685,0.00148889677144406,17.85337
V493,17.2654,0.00207807805180211,1.17594
Dryoscopus_gambensis,8.338715,0.00188461608684687,16.67743
V495,16.241105,0.00299404342436355,0.87265
Dyaphorophyia_castanea,7.90239,0.00203522052421515,15.80478
Mystacornis_crossleyi,7.90239,0.00214620779800408,15.80478
V498,23.98363,0.0059948648225421,0.22714
Daphoenositta_chrysoptera,11.93503,0.00168031222936653,23.87006
V500,23.651295,0.00528595869065679,0.43753
