	t1	t2	t3
N620	0.35527351	0.3429493	0.30177718
N621	0.39513138	0.30604124	0.29882738
N625	0.93080425	0.027336352	0.041859403
N628	0.908132	0.02079923	0.07106871
N635	0.98185694	0.015171737	0.0029713383
N638	0.9709008	0.019034632	0.010064569
N639	0.9057472	0.044204477	0.050048325
N640	0.791679	0.11124369	0.09707732
N641	0.40556872	0.34771895	0.24671233
N644	0.9399563	0.014139074	0.04590463
N647	0.6653837	0.25735041	0.07726595
N651	0.9983407	0.000348811	0.001310481
N655	0.99110615	0.0055586435	0.0033351863
N656	0.9816473	0.0071165897	0.011236094
N657	0.98365027	0.00972417	0.0066256346
N661	0.36401704	0.31388447	0.3220985
N665	0.37758946	0.3428435	0.27956703
N666	0.87510616	0.061320737	0.063573144
N670	0.37600774	0.36474198	0.25925028
N671	0.621233	0.2075498	0.17121729
N672	0.65219694	0.19429761	0.15350541
N677	0.8821558	0.033344157	0.08450003
N678	0.7874939	0.12043715	0.09206899
N679	0.75800216	0.073874064	0.16812375
N682	0.9856533	0.0029120892	0.011434666
N686	0.5776036	0.20676275	0.21563366
N687	0.9838552	0.0047366815	0.011408061
N688	0.58034873	0.25402224	0.16562907
N689	0.55288804	0.22508463	0.22202738
N690	0.39540622	0.28593075	0.31866303
N691	0.4341088	0.28290418	0.28298703
N692	0.79437184	0.10484383	0.10078432
N693	0.70391446	0.15658247	0.13950305
N694	0.663928	0.16122554	0.1748465
N695	0.7093242	0.117115736	0.17356008
N696	0.43717977	0.2467711	0.31604913
N697	0.65998197	0.1505225	0.18949555
N698	0.7278578	0.15386158	0.11828055
N699	0.3983945	0.36525556	0.23634996
N700	0.62965816	0.18406992	0.18627192
N701	0.6326215	0.23121306	0.13616532
N702	0.70663077	0.16338797	0.1299813
N703	0.40571252	0.29470667	0.29958087
N704	0.9134925	0.042082373	0.04442515
N705	0.421061	0.34218943	0.23674962
N706	0.46871945	0.23268647	0.29859406
N707	0.377456	0.36043477	0.26210916
N708	0.7625513	0.13025501	0.107193686
N709	0.5821695	0.20954993	0.20828058
N710	0.87010455	0.072651595	0.057243884
N711	0.93544006	0.04265408	0.021905864
N712	0.73583996	0.14956143	0.114598654
N713	0.93790436	0.042599145	0.019496476
N714	0.7525678	0.10124524	0.1461869
Passeriformes	0.9234934	0.053417906	0.023088714
N716	0.38849127	0.31759232	0.29391643
N717	0.38130558	0.34281445	0.27587995
N718	0.35088593	0.2887624	0.36035168
N719	0.59628826	0.21208476	0.19162703
N720	0.34730557	0.30938482	0.34330964
