317 97 .306
318 97 .305
280 93 .3321
293 104 .3549
345 121 .3507
322 106 .3292
296 100 .3378
330 111 .3364
340 107 .3147
280 87 .3107
348 116 .3333
161 46 .2857
343 101 .2945
326 110 .3374
346 106 .3064
310 100 .3226
323 106 .3282
308 112 .3636
351 106 .302
346 111 .3208
327 114 .3486
331 104 .3142
320 103 .3219
311 93 .299
33 4 .1212
346 108 .3121
292 100 .3425
341 107 .3138
3 0 0
311 103 .3312
338 118 .3491
349 98 .2808
356 120 .3371
252 105 .4167
259 77 .2973
29 4 .1379
328 103 .314
312 105 .3365
253 70 .2767
124 37 .2984
28 3 .1071
358 117 .3268
236 80 .339
307 85 .2769
212 67 .316
161 48 .2981
313 104 .3323
133 39 .2932
329 104 .3161
336 103 .3065
360 119 .3306
320 96 .3
297 85 .2862
254 87 .3425
279 83 .2975
245 75 .3061
159 45 .283
271 88 .3247
285 86 .3018
199 70 .3518
359 128 .3565
266 82 .3083
249 63 .253
291 84 .2887
265 73 .2755
104 35 .3365
240 79 .3292
268 77 .2873
276 88 .3188
336 103 .3065
227 59 .2599
257 78 .3035
210 62 .2952
256 77 .3008
249 73 .2932
306 102 .3333
221 65 .2941
265 80 .3019
263 80 .3042
182 48 .2637
281 84 .2989
159 45 .283
292 94 .3219
291 96 .3299
218 69 .3165
333 94 .2823
