edge	TN	FP	FN	TP	p	r	type	method	change	X11	SUNIT	SIZE	NGEN	CLADE_SIZE	HEIGHT_NGEN	HEIGHT_EDGE	DEPTH_NGEN	DEPTH_EDGE	TOTAL_NGEN	CU	True	recall	precision	f1	acc	fpr	fnr	expanded	ilr	sc	cu_bin	p_bin
N113	1425	0	2	73	0.05	1	recombination_rate_change	Phlag	10x increase	2.7812876701355	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	73	0.973333333333333	1	0.986486486486487	0.998666666666667	0	0.0266666666666667	TRUE	FALSE	FALSE	(1,Inf]	(0,0.05]
N113	1105	20	375	0	0.25	1	recombination_rate_change	KmeansQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	20	0	0	0	0.736666666666667	0.0177777777777778	1	FALSE	TRUE	FALSE	(1,Inf]	(0.15,0.25]
N113	1100	25	0	375	0.25	1	recombination_rate_change	Phlag	10x increase	3.01672840118408	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	400	1	0.9375	0.967741935483871	0.983333333333333	0.0222222222222222	0	FALSE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
N113	1125	0	2	373	0.25	1	recombination_rate_change	KmeansQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	373	0.994666666666667	1	0.997326203208556	0.998666666666667	0	0.00533333333333333	TRUE	TRUE	FALSE	(1,Inf]	(0.15,0.25]
N113	1176	24	300	0	0.2	1	recombination_rate_change	KmeansQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	24	0	0	0	0.784	0.02	1	FALSE	TRUE	FALSE	(1,Inf]	(0.15,0.25]
N113	1149	51	299	1	0.2	1	recombination_rate_change	GaussianQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	52	0.00333333333333333	0.0192307692307692	0.00568181818181818	0.766666666666667	0.0425	0.996666666666667	FALSE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
N113	1200	0	3	297	0.2	1	recombination_rate_change	KmeansQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	297	0.99	1	0.994974874371859	0.998	0	0.01	TRUE	TRUE	FALSE	(1,Inf]	(0.15,0.25]
N113	1193	7	192	108	0.2	1	recombination_rate_change	GaussianQQS+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	115	0.36	0.939130434782609	0.520481927710843	0.867333333333333	0.00583333333333333	0.64	TRUE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
N113	1174	26	299	1	0.2	1	recombination_rate_change	TopologyOrder+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	27	0.00333333333333333	0.037037037037037	0.00611620795107034	0.783333333333333	0.0216666666666667	0.996666666666667	FALSE	FALSE	FALSE	(1,Inf]	(0.15,0.25]
N113	1442	28	30	0	0.02	1	recombination_rate_change	TopologyOrder+HMM	10x increase	1096514.63414634	0.011829	150768.66391738	899141.9999999999	2	3060754	2	7137942	11	5222366	2.98185968038001	28	0	0	0	0.961333333333333	0.019047619047619	1	FALSE	FALSE	FALSE	(1,Inf]	(0,0.05]
