LABEL	SRATE
Geospiza_fortis	0.016772
Sporophila_hypoxantha	0.01674
N670	0.00205
N671	0.003978
N672	0.004813
Spizella_passerina	0.019883
Melospiza_melodia	0.015039
Junco_hyemalis	0.008492
Zonotrichia_albicollis	0.00933
N677	0.006737
N678	0.005383
N679	0.007837
Setophaga_coronata	0.005905
Setophaga_kirtlandii	0.006703
N682	0.021052
Agelaius_phoeniceus	0.005765
Molothrus_ater	0.005893
Quiscalus_mexicanus	0.006221
N686	0.001461
N687	0.014641
N688	0.003098
N689	0.003284
N690	0.001417
N691	0.001968
N692	0.005782
N693	0.004054
N694	0.002804
N695	0.00433
N696	0.001748
N697	0.003226
N698	0.003592
N699	0.001282
N700	0.002309
N701	0.002366
N702	0.002893
N703	0.00084
N704	0.008102
N705	0.001854
N706	0.001094
N707	0.001234
N708	0.004093
N709	0.002314
N710	0.005687
N711	0.010689
N712	0.005044
N713	0.009617
N714	0.006553
Passeriformes	0.036768
N716	0.002293
N717	0.002081
N718	0.002332
N719	0.006007
N720	0.001445
N721	0.001524
N722	0.033558
N723	0.015851302970168585
root	0
