d-phlag_0005-c_min3max25	0	1700	299	1	0.15	2	T171	T77	31
d-phlag_0005-c_min3max25	7	1593	400	0	0.2	2	T20	T32	5
d-phlag_0005-c_min3max25	1800	0	200	0	0.1	2	T68	T97	15
d-phlag_0005-c_min3max25	1896	4	6	94	0.05	1	T115	T44	46
d-phlag_0005-c_min3max25	9	1391	600	0	0.3	3	T138	T147	38
d-phlag_0005-c_min3max25	1899	1	50	50	0.05	2	T175	T76	36
d-phlag_0005-c_min3max25	1800	0	200	0	0.1	2	T115	T44	46
d-phlag_0005-c_min3max25	1130	370	259	241	0.25	1	T169	T200	24
d-phlag_0005-c_min3max25	1473	127	353	47	0.2	2	T79	T172	45
d-phlag_0005-c_min3max25	1497	3	4	496	0.25	1	T126	T100	21
d-phlag_0005-c_min3max25	1600	0	400	0	0.2	2	T140	T102	6
d-phlag_0005-c_min3max25	1900	0	0	100	0.05	1	T62	T40	20
d-phlag_0005-c_min3max25	1797	3	7	193	0.1	1	T175	T76	36
d-phlag_0005-c_min3max25	2	1398	600	0	0.3	1	T171	T33	26
d-phlag_0005-c_min3max25	4	1396	600	0	0.3	2	T9	T124	40
d-phlag_0005-c_min3max25	1063	337	0	600	0.3	2	T53	T175	44
d-phlag_0005-c_min3max25	1415	185	219	181	0.2	2	T2	T142	34
d-phlag_0005-c_min3max25	1068	434	0	498	0.25	3	T120	T43	50
d-phlag_0005-c_min3max25	1800	0	0	200	0.1	2	T150	T171	2
d-phlag_0005-c_min3max25	1900	0	2	98	0.05	2	T71	T144	20
d-phlag_0005-c_min3max25	1793	9	9	189	0.1	3	T17	T198	23
d-phlag_0005-c_min3max25	1388	12	593	7	0.3	1	T97	T32	13
d-phlag_0005-c_min3max25	1666	34	289	11	0.15	1	T25	T44	37
d-phlag_0005-c_min3max25	1793	7	1	199	0.1	1	T70	T194	21
d-phlag_0005-c_min3max25	492	1409	99	0	0.05	3	T80	T81	4
d-phlag_0005-c_min3max25	1900	0	100	0	0.05	4	T54	T121	30
d-phlag_0005-c_min3max25	1500	0	500	0	0.25	1	T116	T22	3
d-phlag_0005-c_min3max25	1900	0	7	93	0.05	2	T109	T111	10
d-phlag_0005-c_min3max25	1400	0	600	0	0.3	4	T10	T30	10
d-phlag_0005-c_min3max25	1729	71	163	37	0.1	2	T82	T155	42
d-phlag_0005-c_min3max25	9	1791	200	0	0.1	2	T65	T142	20
d-phlag_0005-c_min3max25	1491	9	4	496	0.25	1	T32	T188	26
d-phlag_0005-c_min3max25	3	1497	500	0	0.25	2	T166	T177	30
d-phlag_0005-c_min3max25	1480	120	0	400	0.2	2	T9	T199	45
d-phlag_0005-c_min3max25	881	519	416	184	0.3	2	T139	T123	27
d-phlag_0005-c_min3max25	84	1517	390	9	0.2	3	T142	T118	9
